Term,Term Type,Count,Query,Query DateTime
http://www.w3.org/ns/prov#wasInvalidatedBy,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasInvalidatedBy%3e%20%5b%5d%7d&output=csv,2014-02-20T16:22:45+00:00
http://www.w3.org/ns/prov#agent,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23agent%3e%20%5b%5d%7d&output=csv,2014-02-20T16:22:56+00:00
http://www.w3.org/ns/prov#qualifiedCommunication,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedCommunication%3e%20%5b%5d%7d&output=csv,2014-02-20T16:23:48+00:00
http://www.w3.org/ns/prov#wasEndedBy,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasEndedBy%3e%20%5b%5d%7d&output=csv,2014-02-20T16:23:59+00:00
http://www.w3.org/ns/prov#qualifiedPrimarySource,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedPrimarySource%3e%20%5b%5d%7d&output=csv,2014-02-20T16:24:10+00:00
http://www.w3.org/ns/prov#hadUsage,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23hadUsage%3e%20%5b%5d%7d&output=csv,2014-02-20T16:24:20+00:00
http://www.w3.org/ns/prov#wasStartedBy,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasStartedBy%3e%20%5b%5d%7d&output=csv,2014-02-20T16:24:32+00:00
http://www.w3.org/ns/prov#hadDictionaryMember,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23hadDictionaryMember%3e%20%5b%5d%7d&output=csv,2014-02-20T16:24:42+00:00
http://www.w3.org/ns/prov#asInBundle,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23asInBundle%3e%20%5b%5d%7d&output=csv,2014-02-20T16:25:14+00:00
http://www.w3.org/ns/prov#has_anchor,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23has_anchor%3e%20%5b%5d%7d&output=csv,2014-02-20T16:25:56+00:00
http://www.w3.org/ns/prov#qualifiedGeneration,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedGeneration%3e%20%5b%5d%7d&output=csv,2014-02-20T16:26:07+00:00
http://www.w3.org/ns/prov#qualifiedAssociation,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedAssociation%3e%20%5b%5d%7d&output=csv,2014-02-20T16:26:28+00:00
http://www.w3.org/ns/prov#hadPrimarySource,property,7874,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23hadPrimarySource%3e%20%5b%5d%7d&output=csv,2014-02-20T16:26:50+00:00
http://www.w3.org/ns/prov#qualifiedDerivation,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedDerivation%3e%20%5b%5d%7d&output=csv,2014-02-20T16:27:00+00:00
http://www.w3.org/ns/prov#qualifiedDelegation,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedDelegation%3e%20%5b%5d%7d&output=csv,2014-02-20T16:27:43+00:00
http://www.w3.org/ns/prov#hadPlan,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23hadPlan%3e%20%5b%5d%7d&output=csv,2014-02-20T16:27:55+00:00
http://www.w3.org/ns/prov#describesService,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23describesService%3e%20%5b%5d%7d&output=csv,2014-02-20T16:28:16+00:00
http://www.w3.org/ns/prov#wasQuotedFrom,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasQuotedFrom%3e%20%5b%5d%7d&output=csv,2014-02-20T16:28:37+00:00
http://www.w3.org/ns/prov#used,property,214,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23used%3e%20%5b%5d%7d&output=csv,2014-02-20T16:28:48+00:00
http://www.w3.org/ns/prov#alternateOf,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23alternateOf%3e%20%5b%5d%7d&output=csv,2014-02-20T16:28:59+00:00
http://www.w3.org/ns/prov#invalidatedAtTime,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23invalidatedAtTime%3e%20%5b%5d%7d&output=csv,2014-02-20T16:29:09+00:00
http://www.w3.org/ns/prov#qualifiedInvalidation,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedInvalidation%3e%20%5b%5d%7d&output=csv,2014-02-20T16:29:20+00:00
http://www.w3.org/ns/prov#qualifiedInsertion,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedInsertion%3e%20%5b%5d%7d&output=csv,2014-02-20T16:29:41+00:00
http://www.w3.org/ns/prov#insertedKeyEntityPair,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23insertedKeyEntityPair%3e%20%5b%5d%7d&output=csv,2014-02-20T16:30:02+00:00
http://www.w3.org/ns/prov#generated,property,214,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23generated%3e%20%5b%5d%7d&output=csv,2014-02-20T16:30:45+00:00
http://www.w3.org/ns/prov#wasGeneratedBy,property,33,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasGeneratedBy%3e%20%5b%5d%7d&output=csv,2014-02-20T16:30:56+00:00
http://www.w3.org/ns/prov#pairKey,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23pairKey%3e%20%5b%5d%7d&output=csv,2014-02-20T16:31:17+00:00
http://www.w3.org/ns/prov#has_provenance,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23has_provenance%3e%20%5b%5d%7d&output=csv,2014-02-20T16:31:38+00:00
http://www.w3.org/ns/prov#has_query_service,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23has_query_service%3e%20%5b%5d%7d&output=csv,2014-02-20T16:31:49+00:00
http://www.w3.org/ns/prov#hadRole,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23hadRole%3e%20%5b%5d%7d&output=csv,2014-02-20T16:31:59+00:00
http://www.w3.org/ns/prov#derivedByRemovalFrom,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23derivedByRemovalFrom%3e%20%5b%5d%7d&output=csv,2014-02-20T16:32:31+00:00
http://www.w3.org/ns/prov#provenanceUriTemplate,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23provenanceUriTemplate%3e%20%5b%5d%7d&output=csv,2014-02-20T16:32:41+00:00
http://www.w3.org/ns/prov#qualifiedQuotation,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedQuotation%3e%20%5b%5d%7d&output=csv,2014-02-20T16:32:52+00:00
http://www.w3.org/ns/prov#removedKey,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23removedKey%3e%20%5b%5d%7d&output=csv,2014-02-20T16:33:13+00:00
http://www.w3.org/ns/prov#hadGeneration,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23hadGeneration%3e%20%5b%5d%7d&output=csv,2014-02-20T16:33:24+00:00
http://www.w3.org/ns/prov#wasInformedBy,property,106,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasInformedBy%3e%20%5b%5d%7d&output=csv,2014-02-20T16:33:56+00:00
http://www.w3.org/ns/prov#influencer,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23influencer%3e%20%5b%5d%7d&output=csv,2014-02-20T16:34:06+00:00
http://www.w3.org/ns/prov#value,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23value%3e%20%5b%5d%7d&output=csv,2014-02-20T16:34:17+00:00
http://www.w3.org/ns/prov#qualifiedStart,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedStart%3e%20%5b%5d%7d&output=csv,2014-02-20T16:34:59+00:00
http://www.w3.org/ns/prov#qualifiedRemoval,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedRemoval%3e%20%5b%5d%7d&output=csv,2014-02-20T16:35:10+00:00
http://www.w3.org/ns/prov#activity,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23activity%3e%20%5b%5d%7d&output=csv,2014-02-20T16:35:20+00:00
http://www.w3.org/ns/prov#derivedByInsertionFrom,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23derivedByInsertionFrom%3e%20%5b%5d%7d&output=csv,2014-02-20T16:35:31+00:00
http://www.w3.org/ns/prov#actedOnBehalfOf,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23actedOnBehalfOf%3e%20%5b%5d%7d&output=csv,2014-02-20T16:35:42+00:00
http://www.w3.org/ns/prov#hadActivity,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23hadActivity%3e%20%5b%5d%7d&output=csv,2014-02-20T16:35:53+00:00
http://www.w3.org/ns/prov#qualifiedAttribution,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedAttribution%3e%20%5b%5d%7d&output=csv,2014-02-20T16:36:03+00:00
http://www.w3.org/ns/prov#wasDerivedFrom,property,24975410,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasDerivedFrom%3e%20%5b%5d%7d&output=csv,2014-02-20T16:36:50+00:00
http://www.w3.org/ns/prov#atLocation,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23atLocation%3e%20%5b%5d%7d&output=csv,2014-02-20T16:37:11+00:00
http://www.w3.org/ns/prov#wasAttributedTo,property,33,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasAttributedTo%3e%20%5b%5d%7d&output=csv,2014-02-20T16:38:04+00:00
http://www.w3.org/ns/prov#atTime,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23atTime%3e%20%5b%5d%7d&output=csv,2014-02-20T16:38:15+00:00
http://www.w3.org/ns/prov#qualifiedInfluence,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedInfluence%3e%20%5b%5d%7d&output=csv,2014-02-20T16:38:57+00:00
http://www.w3.org/ns/prov#wasRevisionOf,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasRevisionOf%3e%20%5b%5d%7d&output=csv,2014-02-20T16:39:18+00:00
http://www.w3.org/ns/prov#hadMember,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23hadMember%3e%20%5b%5d%7d&output=csv,2014-02-20T16:39:28+00:00
http://www.w3.org/ns/prov#qualifiedRevision,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedRevision%3e%20%5b%5d%7d&output=csv,2014-02-20T16:39:39+00:00
http://www.w3.org/ns/prov#pingback,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23pingback%3e%20%5b%5d%7d&output=csv,2014-02-20T16:40:00+00:00
http://www.w3.org/ns/prov#endedAtTime,property,108,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23endedAtTime%3e%20%5b%5d%7d&output=csv,2014-02-20T16:40:22+00:00
http://www.w3.org/ns/prov#influenced,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23influenced%3e%20%5b%5d%7d&output=csv,2014-02-20T16:40:33+00:00
http://www.w3.org/ns/prov#mentionOf,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23mentionOf%3e%20%5b%5d%7d&output=csv,2014-02-20T16:41:05+00:00
http://www.w3.org/ns/prov#qualifiedUsage,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedUsage%3e%20%5b%5d%7d&output=csv,2014-02-20T16:41:15+00:00
http://www.w3.org/ns/prov#dictionary,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23dictionary%3e%20%5b%5d%7d&output=csv,2014-02-20T16:41:36+00:00
http://www.w3.org/ns/prov#wasAssociatedWith,property,214,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasAssociatedWith%3e%20%5b%5d%7d&output=csv,2014-02-20T16:41:47+00:00
http://www.w3.org/ns/prov#entity,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23entity%3e%20%5b%5d%7d&output=csv,2014-02-20T16:41:58+00:00
http://www.w3.org/ns/prov#startedAtTime,property,214,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23startedAtTime%3e%20%5b%5d%7d&output=csv,2014-02-20T16:42:09+00:00
http://www.w3.org/ns/prov#wasInfluencedBy,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23wasInfluencedBy%3e%20%5b%5d%7d&output=csv,2014-02-20T16:42:20+00:00
http://www.w3.org/ns/prov#generatedAtTime,property,3376,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23generatedAtTime%3e%20%5b%5d%7d&output=csv,2014-02-20T16:42:31+00:00
http://www.w3.org/ns/prov#invalidated,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23invalidated%3e%20%5b%5d%7d&output=csv,2014-02-20T16:43:24+00:00
http://www.w3.org/ns/prov#specializationOf,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23specializationOf%3e%20%5b%5d%7d&output=csv,2014-02-20T16:43:35+00:00
http://www.w3.org/ns/prov#pairEntity,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23pairEntity%3e%20%5b%5d%7d&output=csv,2014-02-20T16:43:46+00:00
http://www.w3.org/ns/prov#qualifiedEnd,property,0,http://lod.openlinksw.com/sparql?query=select%20count%28distinct%20%3fs%29%20where%20%7b%3fs%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23qualifiedEnd%3e%20%5b%5d%7d&output=csv,2014-02-20T16:43:57+00:00
